<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;12/11/17;000000;1.1665000;1.1668000;1.1650100;1.1652000
EURUSD;D;13/11/17;000000;1.1650900;1.1675300;1.1636000;1.1668300
EURUSD;D;14/11/17;000000;1.1668200;1.1805100;1.1660000;1.1792900
EURUSD;D;15/11/17;000000;1.1793000;1.1860700;1.1783000;1.1791900
EURUSD;D;16/11/17;000000;1.1792300;1.1801000;1.1756000;1.1770100
EURUSD;D;17/11/17;000000;1.1770100;1.1821800;1.1764000;1.1794600
EURUSD;D;18/11/17;000000;1.1794500;1.1794800;1.1785000;1.1787500
EURUSD;D;19/11/17;000000;1.1787000;1.1790800;1.1774000;1.1784000
EURUSD;D;20/11/17;000000;1.1785000;1.1810000;1.1721000;1.1729000
EURUSD;D;21/11/17;000000;1.1728900;1.1757800;1.1712000;1.1738200
EURUSD;D;22/11/17;000000;1.1738700;1.1827000;1.1730700;1.1819600
EURUSD;D;23/11/17;000000;1.1819300;1.1856000;1.1812000;1.1850700
EURUSD;D;24/11/17;000000;1.1850600;1.1944400;1.1835000;1.1930600
EURUSD;D;25/11/17;000000;1.1930500;1.1938800;1.1925800;1.1931000
EURUSD;D;26/11/17;000000;1.1931000;1.1941000;1.1918000;1.1938800
EURUSD;D;27/11/17;000000;1.1941000;1.1961200;1.1894000;1.1899400
EURUSD;D;28/11/17;000000;1.1899400;1.1920000;1.1826000;1.1841200
EURUSD;D;29/11/17;000000;1.1841300;1.1882900;1.1816000;1.1850900
EURUSD;D;30/11/17;000000;1.1851300;1.1931600;1.1808000;1.1901900
EURUSD;D;01/12/17;000000;1.1902100;1.1940300;1.1849000;1.1891000
